2018-06-22 08:24:07 80.253.213.7 Request for          index.php Successfull - 'sessionKey'='218883', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-22 08:24:12 80.253.213.7 Request for sessionhandler.php Successfull - 'sessionKey'='218883', Next valid 'pageID'='dfb807e0-7420-4c5f-b1fd-2b3e31dd4b01', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-22 08:24:12 80.253.213.7 Request for           shop.php Successfull - 'sessionKey'='218883', 'pageID'='dfb807e0-7420-4c5f-b1fd-2b3e31dd4b01', Next valid 'pageID'='3c1b6a08-6fc4-4440-b792-5aa5954ca2de', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-22 08:24:12 80.253.213.7 Request for           cart.php Successfull - 'sessionKey'='218883', 'pageID'='3c1b6a08-6fc4-4440-b792-5aa5954ca2de', Next valid 'pageID'='a386bdd2-553f-4566-8026-96fe23b21796', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' - Added unmanged LG's, new amount: 415
2018-06-22 08:56:01 80.253.213.7 Request for          index.php Successfull - 'sessionKey'='614990', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-22 08:56:03 80.253.213.7 Request for sessionhandler.php Successfull - 'sessionKey'='614990', Next valid 'pageID'='e41637c2-bf1e-484e-a4d3-bc2bcb32c791', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-22 08:56:03 80.253.213.7 Request for           shop.php Successfull - 'sessionKey'='614990', 'pageID'='e41637c2-bf1e-484e-a4d3-bc2bcb32c791', Next valid 'pageID'='f2d81293-a224-46a9-9923-3f6e2d0695a4', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-22 08:57:30 193.57.249.10 Request for          index.php Successfull - 'sessionKey'='439644', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-22 08:57:36 193.57.249.10 Request for sessionhandler.php Successfull - 'sessionKey'='439644', Next valid 'pageID'='36bb5a03-f8a9-4d0d-8eee-3e57036efb20', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-22 08:57:36 193.57.249.10 Request for           shop.php Successfull - 'sessionKey'='439644', 'pageID'='36bb5a03-f8a9-4d0d-8eee-3e57036efb20', Next valid 'pageID'='68be79e3-6a4a-49cf-8315-cfd28aebed65', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-22 11:53:14 80.253.213.7 Request for          index.php Successfull - 'sessionKey'='844819', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-22 11:53:16 80.253.213.7 Request for sessionhandler.php Successfull - 'sessionKey'='844819', Next valid 'pageID'='7ee00e78-c22f-4e71-825c-b82b34e3df8c', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-06-22 11:53:16 80.253.213.7 Request for           shop.php Successfull - 'sessionKey'='844819', 'pageID'='7ee00e78-c22f-4e71-825c-b82b34e3df8c', Next valid 'pageID'='72c7b1f4-828e-4cb3-8063-ff6cd5fb4183', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko' 
2018-06-22 12:00:54 80.253.213.7 Request for          index.php Successfull - 'sessionKey'='501630', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
