2018-07-09 09:36:25 193.57.249.12 Request for          index.php Successfull - 'sessionKey'='197610', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36'
2018-07-09 09:36:47 193.57.249.12 Request for sessionhandler.php Successfull - 'sessionKey'='197610', Next valid 'pageID'='affa471e-c6c4-440f-8110-9bbad581c851', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36'
2018-07-09 09:36:47 193.57.249.12 Request for           shop.php Successfull - 'sessionKey'='197610', 'pageID'='affa471e-c6c4-440f-8110-9bbad581c851', Next valid 'pageID'='7d1f5d03-97f4-48e3-bec5-a72bac2b7e88', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36' 
2018-07-09 09:37:05 193.57.249.12 ERROR (3.008) Request for cart.php without any POST Parameter 'ctl_field27ID[DYNAMIC ID]' , available Dynamic ID's: 'a346496c-c917-4508-838b-d6b2a1a1e36b' '9145da4f-5c0e-48c5-8d13-f675b7aa99c7' '9523a6de-406d-40f0-a936-edfb6f394253' '78b73bce-6de3-4fb5-9305-e07ec8377c1f' 'f7a781af-e87f-43f2-9ec6-28bb6e999bd1' '6191d11d-8726-48e4-a565-f1c73fb8c01d' '66611e0d-3809-4563-b3b8-cd8a8f25ceb2' '3b8719a0-012f-4431-a132-4d4ea7d6c662'
2018-07-09 09:37:21 193.57.249.12 Request for       checkout.php Successfull - 'sessionKey'='197610', 'pageID'='7d1f5d03-97f4-48e3-bec5-a72bac2b7e88', Next valid 'pageID'='f49abd37-a872-4bf2-96cc-63191425919a', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36' 
2018-07-09 09:37:35 193.57.249.12 Request for          index.php Successfull - 'sessionKey'='737721', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36'
2018-07-09 10:18:39 80.253.213.7 Request for          index.php Successfull - 'sessionKey'='334673', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko'
2018-07-09 12:43:37 193.57.249.12 Request for          index.php Successfull - 'sessionKey'='517057', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36'
2018-07-09 12:44:00 193.57.249.12 Request for sessionhandler.php Successfull - 'sessionKey'='517057', Next valid 'pageID'='6fd4cefb-ab92-4ab3-9733-fbe726bf36a5', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36'
2018-07-09 12:44:00 193.57.249.12 Request for           shop.php Successfull - 'sessionKey'='517057', 'pageID'='6fd4cefb-ab92-4ab3-9733-fbe726bf36a5', Next valid 'pageID'='20eb5bb9-27a2-42a3-b303-cab949367230', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36' 
2018-07-09 12:44:32 193.57.249.12 ERROR (4.005) Request for checkout.php with mismatch between Session Parameter pageID '20eb5bb9-27a2-42a3-b303-cab949367230' and URL Parameter pageID 'NotFound', Next valid one will be '33369e7b-198d-4c9f-ae50-58633835e3db'
2018-07-09 12:45:44 193.57.249.12 Request for          index.php Successfull - 'sessionKey'='318357', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36'
2018-07-09 12:46:05 193.57.249.12 Request for sessionhandler.php Successfull - 'sessionKey'='318357', Next valid 'pageID'='b51934d4-5f2f-409d-a598-f13976c93317', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36'
2018-07-09 12:46:05 193.57.249.12 Request for           shop.php Successfull - 'sessionKey'='318357', 'pageID'='b51934d4-5f2f-409d-a598-f13976c93317', Next valid 'pageID'='68e260d5-de1e-4229-8389-8e1cb3b4917b', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36' 
