2018-04-06 09:22:40 31.17.253.248 Request for          index.php Successfull - 'sessionKey'='217583', 'ClientBrowser'='Mozilla/5.0 (Windows NT 10.0; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0'
2018-04-06 23:07:45 213.196.202.137 Request for          index.php Successfull - 'sessionKey'='834554', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0'
2018-04-06 23:07:52 213.196.202.137 Request for sessionhandler.php Successfull - 'sessionKey'='834554', Next valid 'pageID'='3436c728-a11a-4bd9-9efb-18eb4e451b22', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0'
2018-04-06 23:07:52 213.196.202.137 Request for           shop.php Successfull - 'sessionKey'='834554', 'pageID'='3436c728-a11a-4bd9-9efb-18eb4e451b22', Next valid 'pageID'='3ce04a8c-bf43-4176-8268-6be35f38d0d9', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0' 
2018-04-06 23:08:05 213.196.202.137 Request for           cart.php Successfull - 'sessionKey'='834554', 'pageID'='3ce04a8c-bf43-4176-8268-6be35f38d0d9', Next valid 'pageID'='c6099c76-abc0-4256-bfde-61e812a5f9f9', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0' - Added managed LG, new amount: 120
2018-04-06 23:08:11 213.196.202.137 Request for           shop.php Successfull - 'sessionKey'='834554', 'pageID'='c6099c76-abc0-4256-bfde-61e812a5f9f9', Next valid 'pageID'='d9127dda-1221-4001-a4f5-1f2ed46bc1b8', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0' 
2018-04-06 23:08:18 213.196.202.137 Request for           cart.php Successfull - 'sessionKey'='834554', 'pageID'='d9127dda-1221-4001-a4f5-1f2ed46bc1b8', Next valid 'pageID'='f8b8230d-65b3-4c80-9693-37404dee03d3', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0' - Added 10 manged LG's, new amount: 60
2018-04-06 23:08:22 213.196.202.137 Request for       checkout.php Successfull - 'sessionKey'='834554', 'pageID'='f8b8230d-65b3-4c80-9693-37404dee03d3', Next valid 'pageID'='36d2e085-83ea-41b1-9da7-ef293649f2a4', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0' 
2018-04-06 23:08:25 213.196.202.137 Request for          index.php Successfull - 'sessionKey'='565158', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0'
2018-04-06 23:12:01 213.196.202.137 Request for          index.php Successfull - 'sessionKey'='798258', 'ClientBrowser'='Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0'
